,Ubicación,Calificación General,Número de Reseñas,Limpieza,Servicio,Relación costo-beneficio,Comodidad,Alimentos y Bebidas
1,Orizaba,4.5,317,4.5,3.8,3.1,3.8,3.6
2,Orizaba,3.5,239,4.6,3,3.3,4.1,4.1
3,Xalapa,4.3,444,4.8,3.5,4.1,3.7,4.6
4,Boca del Río,4.6,418,3.2,4.8,3.9,3.6,4.2
5,Coatepec,3.8,383,3.3,3.8,4.9,4.6,3.5
6,Coatepec,4.2,143,3.8,4.8,5,4.2,3.4
7,Boca del Río,4.5,251,4.9,4.4,3.8,4.9,3.4
8,Xalapa,3.9,41,4.9,4,4.1,3.3,3.8
9,Coatepec,3.9,390,4.9,3.6,3.8,4.6,3.6
10,Boca del Río,4,312,4.6,4.7,5,4.9,3.6
11,Veracruz,4.1,158,3.5,4.8,4.5,4.3,4
12,Boca del Río,3.7,493,3.9,3.9,4.3,4.4,3.1
13,Orizaba,4,223,3.1,4.6,4.8,3.6,4.5
14,Orizaba,4.2,284,4,4.5,3,3.3,4.7
15,Xalapa,3,400,4.7,3.8,3.6,4.6,4
16,Xalapa,4.7,161,3.7,4.2,4.2,3.3,4.3
17,Orizaba,4,176,3.2,4.7,4.6,3.4,3.3
18,Boca del Río,4.5,386,4.6,4,3.2,3.4,3.1
19,Boca del Río,4.2,222,4.1,4.8,4.8,4.5,3.9
20,Boca del Río,4.2,367,4.4,5,3.5,4,4.2
21,Xalapa,3.2,392,3.7,3.4,5,4.1,4.8
22,Xalapa,3.6,94,4.8,4.8,4.5,3.1,4.3
23,Veracruz,4.2,457,4.4,5,3.7,4.3,4.2
24,Boca del Río,3.8,177,3.5,4.3,4.6,3.1,4.2
25,Orizaba,4,276,3.6,3.1,4.4,4.8,4
26,Orizaba,3.8,218,3.6,4.6,4.4,3.8,3.4
27,Boca del Río,4.7,187,4.3,4,4,4.2,4.9
28,Boca del Río,3.4,402,4.4,4.8,4.8,4.8,3.9
29,Xalapa,4.2,318,4.2,3.4,4.3,4.5,4.3
30,Coatepec,3.8,498,4.6,3.6,4.3,4.9,4.8
31,Coatepec,4.4,258,4.9,4.7,3.5,4.6,4.1
32,Boca del Río,4,71,4.4,4.7,3.7,3.9,4.1
33,Veracruz,4.9,349,3.9,4,4.2,5,3.5
34,Xalapa,4.4,355,4.7,3.9,3.5,3.1,3.7
35,Xalapa,4.2,147,4.6,3.5,4.8,4.9,4.2
36,Xalapa,3,262,3.3,4.8,4,4.2,3.3
37,Boca del Río,3.1,452,3.3,3.3,3.3,4.5,3.5
38,Xalapa,3.6,147,4.8,4.7,5,3.4,3.4
39,Xalapa,4.9,126,3.7,5,4.1,3.5,3.8
40,Xalapa,4.2,243,4.3,3.4,4.6,4.4,4.7
41,Coatepec,4.2,282,4.9,3.7,3.5,3.7,3.1
42,Orizaba,4.6,446,3.6,4.7,4.8,3.4,4.6
43,Coatepec,4.9,444,4.5,4.3,3.7,3.6,3.5
44,Coatepec,3.5,169,4,3.6,4.7,3,4.2
45,Boca del Río,4.6,49,4.4,4,4.5,4,3.6
46,Veracruz,3.5,110,3.8,3.7,4.1,4.7,3.9
